exchange,address
sushiswap_v2,0xd32F2EB49E91aA160946f3538564118388d6246a
sushiswap_v2,0xA48869049e36f8Bfe0Cc5cf655632626988c0140
sushiswap_v2,0x3d0BD54c48C2C433ea6fed609Cc3d5Fb7A77622B
sushiswap_v2,0x9555CBDFe51D1619FC199Ba0b623516Fbd02b0A3
sushiswap_v2,0x05c362d5f421A346A04C295e1f36DFd13b4238b1
sushiswap_v2,0xbd0eEC56dA621B6b31E3d06614f7853624e1c0af
sushiswap_v2,0x8623836F527350Ec50691479674Df0cD7773810c
sushiswap_v2,0xbeddBAe6e24314a3336eF5E706A9a039395d6CB7
sushiswap_v2,0x19Aea462D6d917a75b8971711D0AF44F76e129d7
sushiswap_v2,0x673C97c8040a615444D3B56f3F17075c30fA3f0a
sushiswap_v2,0xB417e91dfD9A201d9151A6a823e4E26e1374BEe9
sushiswap_v2,0x8E38ef5BFb9b62FB85Ece4967e7919Ffc8ef8e72
sushiswap_v2,0xFe69403CF2e22390c0D87aB05062F67D9084935B
sushiswap_v2,0xBd3F2fE0CF20d545a5F6E1D5992dcb2652227aC1
sushiswap_v2,0x90334dbBDa766Ecb1CF9C52916db8b6867E0439c
sushiswap_v2,0xfEA288c45ebE999a052368C96855374981AE7a11
sushiswap_v2,0x51F1D92099cC9b388839a9D629256a2a76ea5091
sushiswap_v2,0x1d6101825d3412925e56C058559E6BFCC4661f1c
sushiswap_v2,0x46CF5510C8a9dF6ef63aCF6B02813178921bcA20
sushiswap_v2,0x0103715fD20A3f2E11fD7b3E646A5F6F6703d245
sushiswap_v2,0xe74385DAe8fE6ebd0d55300300Fe2e298324f95f
sushiswap_v2,0x450c6Ae5AfEBCCBcc51FE459587f6aA2799e11E6
sushiswap_v2,0xB9df5996a8F10105d3478988cBbB36b476ad968F
sushiswap_v2,0x2c49250b1a9f7193B548210907A9249154C177A8
sushiswap_v2,0x15c15C6a6E9ceaA33eAb7D51553680De93a81F36
sushiswap_v2,0x31053Fa999891D45CB375C95af85fD1471b58E77
sushiswap_v2,0x467e97850a605061253638127C6D178a8fE141aB
sushiswap_v2,0x28ef7Bf74E53EC3C198727fF34770a729d40B607
sushiswap_v2,0x947d2919d541b6cFA75A85da27960BD16Dc22114
sushiswap_v2,0xF1EbaC8C0Da9AEdCbdA18b5E339d0B84F67dc166
